"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4516","Расположение названия поля Password","chromium","Thu Jul 10 17:44:49 GMT 2025","passed","Thu Jul 10 17:44:53 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","6637","Кнопка Sing In /account/","chromium","Thu Jul 10 17:39:36 GMT 2025","passed","Thu Jul 10 17:39:43 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","3576","Расположение кнопки Sing In на странице продукта","chromium","Thu Jul 10 17:39:43 GMT 2025","passed","Thu Jul 10 17:39:46 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","2053","Отображение определенного количества товаров на странице","chromium","Thu Jul 10 17:39:32 GMT 2025","passed","Thu Jul 10 17:39:34 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","100041","Возврат к покупкам после очистки корзины","chromium","Thu Jul 10 17:43:08 GMT 2025","broken","Thu Jul 10 17:44:48 GMT 2025","5 UI тестов на поиск ошибок","","",""
