"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100043","Возврат к покупкам после удаления очистки корзины","chromium","Thu Jul 10 17:14:01 GMT 2025","broken","Thu Jul 10 17:15:41 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","3835","Расположение кнопки Sing In на странице продукта","chromium","Thu Jul 10 17:10:35 GMT 2025","passed","Thu Jul 10 17:10:39 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","5312","Расположение названия поля Password","chromium","Thu Jul 10 17:15:42 GMT 2025","passed","Thu Jul 10 17:15:47 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","5726","Кнопка Sing In /account/","chromium","Thu Jul 10 17:10:29 GMT 2025","passed","Thu Jul 10 17:10:35 GMT 2025","5 UI тестов на поиск ошибок","","",""
"","2809","Отображение определенного количества товаров на странице","chromium","Thu Jul 10 17:10:26 GMT 2025","passed","Thu Jul 10 17:10:29 GMT 2025","5 UI тестов на поиск ошибок","","",""
